📺央视频道,#genre#
浙江卫视,https://hls-gateway.vpstv.net/streams/476909.m3u8 
江苏卫视,https://hls-gateway.vpstv.net/streams/476906.m3u8 
湖南卫视,https://hls-gateway.vpstv.net/streams/476904.m3u8 
广东卫视,https://hls-gateway.vpstv.net/streams/476914.m3u8 
深圳卫视,https://hls-gateway.vpstv.net/streams/476913.m3u8 
天津卫视,https://hls-gateway.vpstv.net/streams/708872.m3u8 
安徽卫视,https://hls-gateway.vpstv.net/streams/708868.m3u8 
山东卫视,https://hls-gateway.vpstv.net/streams/708860.m3u8 
辽宁卫视,https://hls-gateway.vpstv.net/streams/708828.m3u8 
河北卫视,https://hls-gateway.vpstv.net/streams/476920.m3u8 
河南卫视,https://hls-gateway.vpstv.net/streams/708871.m3u8 
江西卫视,https://hls-gateway.vpstv.net/streams/708831.m3u8 
四川卫视,https://hls-gateway.vpstv.net/streams/476917.m3u8 
重庆卫视,https://hls-gateway.vpstv.net/streams/476918.m3u8 
贵州卫视,https://hls-gateway.vpstv.net/streams/708850.m3u8 
湖北卫视,https://hls-gateway.vpstv.net/streams/476198.m3u8 
广西卫视,https://hls-gateway.vpstv.net/streams/708864.m3u8 
云南卫视,https://hls-gateway.vpstv.net/streams/708863.m3u8 
东南卫视,https://hls-gateway.vpstv.net/streams/708823.m3u8 
海南卫视,https://hls-gateway.vpstv.net/streams/708822.m3u8 
青海卫视,https://hls-gateway.vpstv.net/streams/708825.m3u8 
厦门卫视,https://hls-gateway.vpstv.net/streams/708838.m3u8 
吉林卫视,https://hls-gateway.vpstv.net/streams/708844.m3u8 
黑龙江视,https://hls-gateway.vpstv.net/streams/708854.m3u8 

📺电信央视,#genre#
CCTV-01,http://qjrhc.jydjd.top:2911/udp/224.1.100.90:11111
CCTV-02,http://qjrhc.jydjd.top:2911/udp/224.1.100.94:11111 
CCTV-03,http://qjrhc.jydjd.top:2911/udp/224.1.100.64:11111
CCTV-04,http://qjrhc.jydjd.top:2911/udp/224.1.100.104:11111 
CCTV-05,http://qjrhc.jydjd.top:2911/udp/224.1.100.82:11111 
CCTV-5+,http://qjrhc.jydjd.top:2911/udp/224.1.100.25:11111 
CCTV-06,http://qjrhc.jydjd.top:2911/udp/224.1.100.84:11111 
CCTV-07,http://qjrhc.jydjd.top:2911/udp/224.1.100.27:11111 
CCTV-08,http://qjrhc.jydjd.top:2911/udp/224.1.100.86:11111 
CCTV-09,http://qjrhc.jydjd.top:2911/udp/224.1.100.29:11111 
CCTV-10,http://qjrhc.jydjd.top:2911/udp/224.1.100.76:11111 
CCTV-11,http://qjrhc.jydjd.top:2911/udp/224.1.100.44:11111 
CCTV-12,http://qjrhc.jydjd.top:2911/udp/224.1.100.78:11111 
CCTV-13,http://qjrhc.jydjd.top:2911/udp/224.1.100.69:11111 
CCTV-14,http://qjrhc.jydjd.top:2911/udp/224.1.100.80:11111 
CCTV-15,http://qjrhc.jydjd.top:2911/udp/224.1.100.42:11111 



📺咪咕央视,#genre#
CCTV-1综合,http://61.177.81.198:35455/mgtv/608807420.m3u8
CCTV-2财经,http://61.177.81.198:35455/mgtv/631780532.m3u8
CCTV-3综艺,http://61.177.81.198:35455/mgtv/624878271.m3u8
CCTV-4中文国际,http://61.177.81.198:35455/mgtv/631780421.m3u8
CCTV-5体育,http://61.177.81.198:35455/mgtv/641886683.m3u8
CCTV5+体育赛事,http://61.177.81.198:35455/mgtv/641886773.m3u8
CCTV-6电影,http://61.177.81.198:35455/mgtv/624878396.m3u8
CCTV-7国防军事,http://61.177.81.198:35455/mgtv/673168121.m3u8
CCTV-8电视剧,http://61.177.81.198:35455/mgtv/624878356.m3u8
CCTV-9记录,http://61.177.81.198:35455/mgtv/673168140.m3u8
CCTV-10科教,http://61.177.81.198:35455/mgtv/624878405.m3u8
CCTV-11戏曲,http://61.177.81.198:35455/mgtv/667987558.m3u8
CCTV-12社会与法,http://61.177.81.198:35455/mgtv/673168185.m3u8
CCTV-13新闻,http://61.177.81.198:35455/mgtv/608807423.m3u8
CCTV-14少儿,http://61.177.81.198:35455/mgtv/624878440.m3u8
CCTV-15音乐,http://61.177.81.198:35455/mgtv/673168223.m3u8
CCTV-16奥林匹克,http://61.177.81.198:35455/nptv/cctv16.m3u8
CCTV-17农业农村,http://61.177.81.198:35455/mgtv/673168256.m3u8

📺咪咕卫视,#genre#
北京卫视,http://61.177.81.198:35455/nptv/beijing.m3u8
湖南卫视,http://61.177.81.198:35455/nptv/hunan.m3u8
江苏卫视,http://61.177.81.198:35455/nptv/jiangsu.m3u8
东方卫视,http://61.177.81.198:35455/nptv/dongfang.m3u8
浙江卫视,http://61.177.81.198:35455/nptv/zhejiang.m3u8
湖北卫视,http://61.177.81.198:35455/nptv/hubei.m3u8
天津卫视,http://61.177.81.198:35455/nptv/tianjing.m3u8
山东卫视,http://61.177.81.198:35455/nptv/shandong.m3u8
辽宁卫视,http://61.177.81.198:35455/nptv/liaoning.m3u8
安徽卫视,http://61.177.81.198:35455/nptv/anhui.m3u8
黑龙江卫视,http://61.177.81.198:35455/nptv/heilongjiang.m3u8
贵州卫视,http://61.177.81.198:35455/nptv/guizhou.m3u8
东南卫视,http://61.177.81.198:35455/nptv/dongnan.m3u8
重庆卫视,http://61.177.81.198:35455/nptv/chongqing.m3u8
江西卫视,http://61.177.81.198:35455/nptv/jiangxi.m3u8
广东卫视,http://61.177.81.198:35455/nptv/guangdong.m3u8
河北卫视,http://61.177.81.198:35455/nptv/hebei.m3u8
深圳卫视,http://61.177.81.198:35455/nptv/shenzheng.m3u8
吉林卫视,http://61.177.81.198:35455/nptv/jiling.m3u8
河南卫视,http://61.177.81.198:35455/nptv/henan.m3u8
四川卫视,http://61.177.81.198:35455/nptv/sichuan.m3u8
广西卫视,http://61.177.81.198:35455/nptv/guangxi.m3u8
陕西卫视,http://61.177.81.198:35455/nptv/shanxiws.m3u8
山西卫视,http://61.177.81.198:35455/nptv/shanxi.m3u8
内蒙古卫视,http://61.177.81.198:35455/nptv/neimenggu.m3u8
青海卫视,http://61.177.81.198:35455/nptv/qinghai.m3u8
海南卫视,http://61.177.81.198:35455/nptv/hainan.m3u8
东南卫视,http://14.103.160.213:8098/mgtv/849116810.m3u8
宁夏卫视,http://61.177.81.198:35455/nptv/ningxia.m3u8
西藏卫视,http://61.177.81.198:35455/nptv/xizang.m3u8
新疆卫视,http://61.177.81.198:35455/nptv/xinjiang.m3u8
甘肃卫视,http://61.177.81.198:35455/nptv/gansu.m3u8
云南卫视,http://61.177.81.198:35455/nptv/yunnan.m3u8
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
大湾区卫视,http://14.103.160.213:8098/mgtv/608917627.m3u8
怀旧剧场,http://61.177.81.198:35455/nptv/hjjc.m3u8

📺港澳台,#genre#
寰宇新闻,http://qwt.zhibotv.top:2016/全网通.php?id=寰宇新闻
寰宇新闻,https://hls-gateway.vpstv.net/streams/476270.m3u8 
中天新闻,http://qwt.zhibotv.top:2016/全网通.php?id=中天新闻
中天新闻,https://hls-gateway.vpstv.net/streams/477695.m3u8 
东森新闻HD,https://hls-gateway.vpstv.net/streams/476998.m3u8
民视新闻HD,https://hls-gateway.vpstv.net/streams/479210.m3u8 
民视新闻HDttps://hls-gateway.vpstv.net/streams/476982.m3u8 
中视新闻HD,https://hls-gateway.vpstv.net/streams/476269.m3u8 
中视新闻HD,https://hls-gateway.vpstv.net/streams/476983.m3u8
华视新闻,https://hls-gateway.vpstv.net/streams/476266.m3u8
无线新闻,http://qwt.zhibotv.top:2016/全网通.php?id=无线新闻台
TVBS新闻,https://hls-gateway.vpstv.net/streams/708927.m3u8 
TVBShttps://hls-gateway.vpstv.net/streams/708925.m3u8
TVBS,http://61.221.215.25:8800/hls/9/index.m3u8
凤凰资讯HD,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰资讯台
凤凰资讯HD,http://124.95.180.107:6718/1.v.smtcdns.net/qitv.fengshows.cn/live/0701pin72.m3u8
香港卫视,https://hls-gateway.vpstv.net/streams/708918.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
翡翠台,http://qwt.zhibotv.top:2016/全网通.php?id=翡翠台
翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
凤凰中文HD,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰中文台
凤凰中文HD,http://50.7.234.10:8278/phoenixtv_hd/playlist.m3u8?tid=MF6F2163882521638825&ct=19249&tsum=2375037c2689c4190d14c8a52bc35c83
凤凰中文HD,https://hls-gateway.vpstv.net/streams/476959.m3u8
凤凰中文HD,https://hls-gateway.vpstv.net/streams/476958.m3u8
